n,r,m
(:Entity {name: නව නම}),[:අනුමත_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් විසින්})
(:Entity {name: අනුමැතිය ලැබුණු පසු}),[:නිකුත්_කිරීම],(:Entity {name: නව ලියාපදිංචි සහතිකයක්})
(:Entity {name: සාමාජිකයන්}),[:හැකියාව],"(:Entity {name: සාමාජික ලේඛනය, අධ්‍යක්ෂක මණ්ඩල රැස්වීම් වාර්තා සහ මූල්‍ය ප්‍රකාශන})"
(:Entity {name: සාමාජිකයන්}),[:අයිතිවාසිකම],(:Entity {name: සමාගමේ ලේඛන පරීක්ෂා කිරීමේ})
(:Entity {name: සමාගම් මුද්‍රාව}),[:භාවිතය],(:Entity {name: සමාගමේ නිල ලේඛන සහ කොන්ත්‍රාත්තු මත})
(:Entity {name: මුද්‍රාව භාවිත කිරීම}),[:බලයලත්_කළ_යුතුයි],(:Entity {name: අධ්‍යක්ෂක මණ්ඩලය විසින්})
(:Entity {name: මුද්‍රාව}),[:භාවිත_කරනු_ලබන්නේ],(:Entity {name: අධ්‍යක්ෂකවරුන් දෙදෙනෙකුගේ අත්සන් සමඟ})
(:Entity {name: වාර්ෂික ප්‍රකාශනය}),[:ඇතුළත්_වීම],"(:Entity {name: සමාගමේ කොටස් ප්‍රාග්ධනය, අධ්‍යක්ෂකවරුන්, ලේකම් සහ විගණකවරුන්ගේ විස්තර})"
(:Entity {name: වාර්ෂික ප්‍රකාශනය}),[:ඉදිරිපත්_කිරීම],(:Entity {name: වාර්ෂික සාමාන්‍ය රැස්වීමෙන් දින 60ක් ඇතුළත})
(:Entity {name: සමාගම් පාලන මූලධර්ම}),[:ඇතුළත්_වීම],"(:Entity {name: වගකීම, විනිවිදභාවය, සාධාරණත්වය, ස්වාධීනත්වය සහ වගවීම})"
(:Entity {name: සමාගමක සමාජ වගකීම}),[:අර්ථ_දැක්වීම],"(:Entity {name: සමාගම සමාජයට, පරිසරයට සහ අනෙකුත් පාර්ශ්වකරුවන්ට ඇති වගකීම})"
(:Entity {name: සමාජ වගකීම}),[:ඇතුළත්_වීම],"(:Entity {name: ආචාරධාර්මික ව්‍යාපාර භාවිත, පරිසර ආරක්ෂාව, සමාජ සංවර්ධන ව්‍යාපෘති})"
(:Entity {name: තිරසාර වාර්තාකරණය}),[:ප්‍රතිලාභය],(:Entity {name: විනිවිදභාවය වැඩි කරයි})
(:Entity {name: තිරසාර වාර්තාකරණය}),[:අර්ථ_දැක්වීම],"(:Entity {name: සමාගමේ පරිසර, සමාජීය සහ පාලන කාර්ය සාධනය පිළිබඳ තොරතුරු ප්‍රකාශ කිරීම})"
(:Entity {name: කෘතීය දේපළ අයිතිවාසිකම්}),[:ආරක්ෂා_කිරීම],"(:Entity {name: වෙළඳ ලකුණු, පේටන්ට් බලපත්‍ර, ප්‍රකාශන හිමිකම් ලියාපදිංචි කළ යුතුය})"
(:Entity {name: සමාගම් ලේඛනාගාරය}),[:ගබඩා_කරනු_ලබන්නේ],(:Entity {name: සියලු ලියාපදිංචි සමාගම්වල ලේඛන සහ වාර්තා})
(:Entity {name: සමාගම් ලේඛනාගාරය}),[:තබා_ගැනීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් විසින්})
(:Entity {name: මහජනතාව}),[:හැකියාව],(:Entity {name: ගාස්තුවක් ගෙවා ලේඛන පරීක්ෂා කළ හැකිය})
(:Entity {name: ඉලෙක්ට්‍රොනික ලේඛන}),[:අවශ්‍යතාව],(:Entity {name: ආරක්ෂිතව තබා ගැනීම සහ ප්‍රවේශය පාලනය කිරීම})
(:Entity {name: ඉලෙක්ට්‍රොනික ලේඛන}),[:අවසර],(:Entity {name: සමාගම් පනත යටතේ භාවිත කිරීමට අවසර ඇත})
(:Entity {name: ආණ්ඩුක්‍රම ව්‍යවස්ථාව සංශෝධනය}),[:අවශ්‍යතාව],(:Entity {name: විශේෂ යෝජනාවක් මගින් සාමාජිකයන්ගේ අනුමැතිය})
(:Entity {name: සංශෝධනය}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: ලියාපදිංචි කළ දින සිට})
(:Entity {name: සංශෝධනය}),[:ලියාපදිංචි_කිරීම],(:Entity {name: ලේකම් රජිස්ට්‍රාර් ජනරාල් වෙත})
(:Entity {name: පාරිභෝගික ණය පනත}),[:අංකය],"(:Entity {name: අංක 29, 1982})"
(:Entity {name: පාරිභෝගික ණය පනත}),[:අරමුණ],(:Entity {name: කුලියට-මිලදී ගැනීමේ ගිවිසුම්වල පාර්ශ්වයන්ගේ යුතුකම් නියාමනය කිරීම})
(:Entity {name: පාරිභෝගික ණය පනත}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: අමාත්‍යවරයා ගැසට් පත්‍රයේ ප්‍රකාශයට පත් කරන නියෝගයකින් පත් කරන දිනයේ සිට})
(:Entity {name: පාරිභෝගික ණය පනත}),[:අත්සන්_කිරීම],(:Entity {name: 1982 අගෝස්තු 18 වන දිනය})
(:Entity {name: කුලියට-මිලදී ගැනීමේ ගිවිසුම}),[:කොන්දේසිය],(:Entity {name: භාණ්ඩවල සන්තකය එකඟ වූ මුදලක් වාරික වශයෙන් ගෙවීම මත})
(:Entity {name: කුලියට-මිලදී ගැනීමේ ගිවිසුම}),[:අර්ථ_දැක්වීම],(:Entity {name: භාණ්ඩ කුප්පියට ලබා දෙන ගිවිසුමක්})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:වගකීම],(:Entity {name: තවමත් ගෙවිය යුතු මුදලක් තිබේ නම් එය ගෙවිය යුතුය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:හැකියාව],(:Entity {name: ගෙවීම් කල් දැමීමක් ඉල්ලා සිටිය හැකිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:හැකියාව],(:Entity {name: ඉතිරි වාරික කලින් ගෙවීමෙන් ගිවිසුම අවසන් කළ හැකිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:හැකියාව],(:Entity {name: භාණ්ඩ වෙනත් ස්ථානයකට ගෙන යා හැකිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:අයිතිවාසිකම],(:Entity {name: ඕනෑම වේලාවක ගිවිසුම අවසන් කිරීමේ})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:අයිතිවාසිකම],(:Entity {name: භාණ්ඩ භාවිත කිරීමේ අයිතිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:යුතුකම],(:Entity {name: භාණ්ඩ සාධාරණ භාවිතයේ සහ කොන්දේසියේ තබා ගත යුතුයි})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:යුතුකම],(:Entity {name: වාරික නියමිත කාලයට ගෙවීම})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:යුතුකම],(:Entity {name: භාණ්ඩ සාධාරණ තත්ත්වයේ තබා ගැනීම})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:යුතුකම],(:Entity {name: භාණ්ඩ සාධාරණ තත්ත්වයේ තබා ගැනීම සහ සාමාන්‍ය නඩත්තු කටයුතු සිදු කිරීම})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:ආරක්ෂාව],(:Entity {name: කුලියට-මිලදී ගැනීමේ මිලෙන් තුනෙන් එකක් හෝ වැඩි ප්‍රමාණයක් ගෙවා ඇත්නම් අධිකරණ නියෝගයක් නොමැතිව භාණ්ඩ නැවත ලබා ගත නොහැක})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:තහනම],(:Entity {name: හිමිකරුගේ ලිඛිත අවසරයකින් තොරව භාණ්ඩ තෙවන පාර්ශ්වයකට විකිණීම})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:තහනම],(:Entity {name: හිමිකරුගේ ලිඛිත අවසරයකින් තොරව ගිවිසුම වෙනත් පුද්ගලයෙකුට පැවරීම})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:විකල්පය],(:Entity {name: ගිවිසුමේ කොන්දේසි අනුව භාණ්ඩ මිලදී ගැනීමට})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:නීතිමය_උපදෙස්_ලබා_ගත_යුත්තේ],(:Entity {name: ගිවිසුමේ කොන්දේසි අපැහැදිලි වුවහොත්})
(:Entity {name: කුලියට ගන්නා තැනැත්තා}),[:නීතිමය_උපදෙස්_ලබා_ගත_යුත්තේ],(:Entity {name: හිමිකරු ගිවිසුම අවලංගු කිරීමට උත්සාහ කරන විට})
(:Entity {name: මුදල් මිල}),[:අර්ථ_දැක්වීම],(:Entity {name: භාණ්ඩ මුදල් වශයෙන් මිලදී ගත හැකි මිල})
(:Entity {name: ගිවිසුම බලාත්මක කිරීමට}),[:කොන්දේසිය],(:Entity {name: ගිවිසුම කුලියට ගන්නා තැනැත්තා සහ අනෙකුත් සියලුම පාර්ශ්වයන් විසින් අත්සන් කළ යුතුයි})
(:Entity {name: ගිවිසුම}),[:ඇතුළත්_වීම],"(:Entity {name: කුලියට-මිලදී ගැනීමේ මිල, මුදල් මිල, සෑම වාරිකයක මුදල})"
(:Entity {name: ගිවිසුමේ පිටපතක්}),[:ලබා_දීම],(:Entity {name: දින 14 ක් ඇතුළත කුලියට ගන්නා තැනැත්තාට})
(:Entity {name: කුලියට-මිලදී ගැනීමේ මිල}),[:ගණනය],(:Entity {name: මුදල් මිල + පොලී + අනෙකුත් ගාස්තු})
(:Entity {name: කුලියට-මිලදී ගැනීමේ මිල}),[:අර්ථ_දැක්වීම],(:Entity {name: භාණ්ඩවල මිලදී ගැනීම සම්පූර්ණ කිරීම සඳහා ගෙවිය යුතු මුළු මුදල})
(:Entity {name: කුලියට-මිලදී ගැනීමේ මිල}),[:ඇතුළත්_වීම],"(:Entity {name: තැන්පතු, ආරම්භක ගෙවීම් සහ සියලුම වාරික})"
(:Entity {name: භාණ්ඩවල දේපළ}),[:හිමිකම],(:Entity {name: හිමිකරු සතුව})
(:Entity {name: භාණ්ඩවල දේපළ}),[:පවරීම],(:Entity {name: මිලදී ගැනීමේ විකල්පය භාවිත කළ විට හෝ අවසාන වාරිකය ගෙවන විට})
(:Entity {name: ගිවිසුම අවසන් කිරීමට}),[:ක්‍රමය],(:Entity {name: හිමිකරුට ලිඛිත දැනුම්දීමක් ලබා දීම})
(:Entity {name: ගිවිසුම අවසන් කිරීමට}),[:අවශ්‍යතාව],(:Entity {name: ගෙවිය යුතු සියලුම මුදල් සහ කුලියට-මිලදී ගැනීමේ මිලෙන් තුනෙන් දෙකක් අඩු ඕනෑම මුදලක් ගෙවීම})
(:Entity {name: පනතේ}),[:සීමාව],(:Entity {name: නිශ්චිත තැන්පතු මුදලක් නියම කර නැත})
(:Entity {name: පනතේ}),[:අදාළතාව],"(:Entity {name: භාණ්ඩ විකුණුම් පනතේ යටතේ භාණ්ඩ විකිණීමකදී භාණ්ඩවල ගුණාත්මකභාවය, සුදුසුභාවය සහ විස්තරයට අදාළ වන සියලුම වගකීම් සහ කොන්දේසි})"
(:Entity {name: තැන්පතු මුදල}),[:අවශ්‍යතාව],(:Entity {name: ගිවිසුමේ ප්‍රකාශ කළ යුතුයි})
(:Entity {name: තැන්පතු මුදල}),[:සැලකීම],(:Entity {name: කුලියට-මිලදී ගැනීමේ මිලෙහි කොටසක් ලෙස})
(:Entity {name: භාණ්ඩ අලුත්වැඩියා කිරීම}),[:අවශ්‍යතාව],(:Entity {name: හිමිකරුගේ අවසරය අවශ්‍ය විය හැකිය})
(:Entity {name: වගකීම් සහතිකය}),[:අර්ථ_දැක්වීම],(:Entity {name: පුද්ගලයෙකු කුලියට ගන්නා තැනැත්තාගේ සියලුම හෝ යම් යම් බැඳීම්වල ඉටුවීම සහතික කරන කොන්ත්‍රාත්තුව})
(:Entity {name: වගකීම්කරු}),[:වගකීම],(:Entity {name: කුලියට ගන්නා තැනැත්තා පෙරනිමි වුවහොත් ගෙවීම් සඳහා})
(:Entity {name: වගකීම්කරු}),[:වගකීම],(:Entity {name: කුලියට ගන්නා තැනැත්තාගේ සියලුම හෝ යම් යම් බැඳීම්වල ඉටුවීම සහතික කරයි})
(:Entity {name: වගකීම්කරු}),[:අයිතිවාසිකම],(:Entity {name: උදව් කළ පාර්ශ්වකරුවාට එරෙහිව නැවත ඉල්ලීමේ අයිතිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා ගෙවිය යුතු මුදල}),[:ගණනය],(:Entity {name: කුලියට-මිලදී ගැනීමේ මිල - තැන්පතු මුදල})
(:Entity {name: වාරිකයක් ගෙවීමට අසමත් වීම}),[:ප්‍රතිඵලය],(:Entity {name: හිමිකරුට ගෙවීමට බල කිරීමට නීතිමය පියවර ගත හැකිය})
(:Entity {name: වාරිකයක් ගෙවීමට අසමත් වීම}),[:ප්‍රතිඵලය],(:Entity {name: ගිවිසුම අවසන් කර භාණ්ඩ නැවත ලබා ගත හැකිය})
(:Entity {name: කුලියට-මිලදී ගැනීමේ මිලෙන් තුනෙන් එකක් හෝ වැඩි ප්‍රමාණයක් ගෙවා ඇත්නම්}),[:අවශ්‍යතාව],(:Entity {name: අධිකරණ නියෝගයක් අවශ්‍ය වේ})
(:Entity {name: භාණ්ඩ හානිවීම හෝ විනාශ වීම}),[:වගකීම],(:Entity {name: සාමාන්‍යයෙන් කුලියට ගන්නා තැනැත්තා සතුව පවතී})
(:Entity {name: භාණ්ඩ සඳහා රක්ෂණ ආවරණයක්}),[:වැදගත්කම],(:Entity {name: ලබා ගැනීම වැදගත් වේ})
(:Entity {name: පනතේ සටහන}),[:අරමුණ],(:Entity {name: කුලියට ගන්නා තැනැත්තාගේ අයිතිවාසිකම් සහ යුතුකම් පිළිබඳව දැනුවත් කිරීම})
(:Entity {name: පනතේ සටහන}),[:අවශ්‍යතාව],(:Entity {name: ගිවිසුමේ අඩංගු විය යුතුය})
(:Entity {name: ගිවිසුම අවලංගු කළ හැක්කේ}),[:කොන්දේසිය],(:Entity {name: කුලියට ගන්නා තැනැත්තා ගිවිසුම අවසන් කිරීමේ අයිතිය භාවිත කළ විට})
(:Entity {name: ගිවිසුම අවලංගු කළ හැක්කේ}),[:කොන්දේසිය],(:Entity {name: හිමිකරු ගිවිසුමේ කොන්දේසි උල්ලංඝනය කළ විට})
(:Entity {name: අවලංගු කිරීමේදී}),[:යුතුකම],(:Entity {name: කුලියට ගන්නා තැනැත්තා භාණ්ඩ ආපසු ලබා දිය යුතුයි})
(:Entity {name: මෝටර් රථ සඳහා කුලියට-මිලදී ගැනීමේ ගිවිසුම්}),[:ඇතුළත්_වීම],(:Entity {name: වාහන ලියාපදිංචි කිරීමේ ගාස්තු})
(:Entity {name: මෝටර් රථ සඳහා කුලියට-මිලදී ගැනීමේ ගිවිසුම්}),[:ඇතුළත්_වීම],(:Entity {name: තෙවන පාර්ශ්ව රක්ෂණ})
(:Entity {name: ස්ථාපන ගාස්තු}),[:අර්ථ_දැක්වීම],(:Entity {name: භාණ්ඩ භාවිත කිරීමට නියමිත පරිශ්‍රයට සවි කිරීම සහ භාණ්ඩ භාවිත කිරීම සඳහා පරිශ්‍රය වෙනස් කිරීම සම්බන්ධයෙන් හිමිකරු විසින් දරන ලද වියදම්})
(:Entity {name: කුලියට ගන්නා තැනැත්තා මිය ගියහොත්}),[:ප්‍රතිඵලය],(:Entity {name: ගිවිසුම ස්වයංක්‍රීයව අවසන් නොවේ})
(:Entity {name: අයිතිවාසිකම් සහ වගකීම්}),[:පවරීම],(:Entity {name: උරුමක්කාරයන්ට හෝ නීතිමය නියෝජිතයන්ට})
(:Entity {name: භාණ්ඩ දෝෂ සහිත නම්}),[:ක්‍රියාමාර්ගය],(:Entity {name: හිමිකරුට ලිඛිතව දැනුම් දී භාණ්ඩ අලුත්වැඩියා කිරීමට හෝ ප්‍රතිස්ථාපනය කිරීමට ඉල්ලා සිටිය හැකිය})
(:Entity {name: භාණ්ඩ දෝෂ සහිත නම්}),[:ක්‍රියාමාර්ගය],(:Entity {name: ගිවිසුම අවලංගු කර වන්දි ඉල්ලා සිටිය හැකිය})
(:Entity {name: හිමිකරු ව්‍යාපාරය වෙනස් වුවහොත්}),[:ප්‍රතිඵලය],(:Entity {name: ගිවිසුමේ අයිතිවාසිකම් සහ වගකීම් නව හිමිකරුට පැවරේ})
(:Entity {name: නව හිමිකරු}),[:වගකීම],(:Entity {name: ගිවිසුමේ සියලුම කොන්දේසි ඉටු කිරීමට බැඳී සිටී})
(:Entity {name: ප්‍රමාද ගාස්තු}),[:කොන්දේසිය],(:Entity {name: සාධාරණ විය යුතු අතර දඬුවම් ස්වභාවයක් නොවිය යුතුය})
(:Entity {name: කලින් ගෙවීම්}),[:ප්‍රතිලාභය],(:Entity {name: අනාගත පොලී සඳහා වට්ටමක් ලැබිය යුතුය})
(:Entity {name: පරීක්ෂා කිරීම}),[:කොන්දේසිය],(:Entity {name: සාධාරණ දැනුම්දීමකින් පසුව සහ කුලියට ගන්නා තැනැත්තාට අපහසුතාවයක් නොවන ලෙස})
(:Entity {name: භාණ්ඩ ස්ථානාන්තරය}),[:කොන්දේසිය],(:Entity {name: ගිවිසුමේ භාණ්ඩ තබා ගත යුතු ස්ථානය සඳහන් කර ඇත්නම් හිමිකරුගේ අවසරය අවශ්‍ය විය හැකිය})
(:Entity {name: භාණ්ඩ වාණිජ අරමුණු සඳහා භාවිත කිරීම}),[:රඳා_පවතී],(:Entity {name: ගිවිසුමේ කොන්දේසි මත})
(:Entity {name: භාවිත අරමුණ වෙනස් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: හිමිකරුගේ අවසරය ලබා ගත යුතුය})
(:Entity {name: ගිවිසුමේ සඳහන් නොකළ ගාස්තු}),[:සීමාව],(:Entity {name: පසුව අය කළ නොහැක})
(:Entity {name: පැවරීම}),[:අවශ්‍යතාව],"(:Entity {name: ලිඛිතව සිදු කළ යුතු අතර හිමිකරු, මුල් කුලියට ගන්නා තැනැත්තා සහ නව කුලියට ගන්නා තැනැත්තා අත්සන් කළ යුතුය})"
(:Entity {name: මෝටර් රථ සඳහා}),[:අවශ්‍යතාව],(:Entity {name: තෙවන පාර්ශ්ව රක්ෂණය නීතියෙන්})
(:Entity {name: අනෙකුත් භාණ්ඩ සඳහා රක්ෂණය}),[:තත්ත්වය],(:Entity {name: නීතියෙන් අනිවාර්ය නොවේ})
(:Entity {name: රක්ෂණය}),[:නිර්දේශය],(:Entity {name: භාණ්ඩ හානිවීම හෝ විනාශ වීමෙන් රක්ෂා වීමට})
(:Entity {name: රක්ෂණය}),[:වේ],(:Entity {name: රක්ෂණකරු සහ රක්ෂණ හිමියා අතර මුල් ගිවිසුම})
(:Entity {name: රක්ෂණය}),[:ආරක්ෂා_කිරීම],(:Entity {name: රක්ෂණ හිමියාව})
(:Entity {name: කුලියට ගන්නා තැනැත්තා ආර්ථික අර්බුදයකට මුහුණ දුන්නහොත්}),[:විකල්පය],(:Entity {name: හිමිකරුව සමඟ සාකච්ඡා කර ගෙවීම් කාලසටහන නැවත සකස් කිරීමට ඉල්ලා සිටිය හැකිය})
(:Entity {name: කුලියට ගන්නා තැනැත්තා ආර්ථික අර්බුදයකට මුහුණ දුන්නහොත්}),[:විකල්පය],(:Entity {name: අධිකරණයෙන් ගෙවීම් කල් දැමීමක් හෝ වාරික අඩු කිරීමක් ඉල්ලා සිටිය හැකිය})
(:Entity {name: භාණ්ඩ විකුණුම් පනතේ සියලුම වගකීම් සහ කොන්දේසි}),[:අදාළතාව],(:Entity {name: කුලියට-මිලදී ගැනීමේ ගිවිසුම්වලට})
(:Entity {name: භාණ්ඩ}),[:යෝග්‍ය_විය_යුතුය],(:Entity {name: විශේෂිත අරමුණට})
(:Entity {name: භාණ්ඩ}),[:අනිවාර්ය_වීම],(:Entity {name: විස්තරයට ගැලපිය යුතුය})
(:Entity {name: භාණ්ඩ}),[:අනිවාර්ය_වීම],(:Entity {name: වෙළඳාම සඳහා සුදුසු ගුණාත්මකභාවයකින් යුක්ත})
(:Entity {name: භාණ්ඩ}),[:අනිවාර්ය_වීම],(:Entity {name: විකිණීමට සුදුසු ගුණාත්මකභාවයක්})
(:Entity {name: භාණ්ඩ}),[:අනිවාර්ය_වීම],(:Entity {name: දෝෂයකින් තොරව})
(:Entity {name: කුලියට ගන්නා තැනැත්තාගේ නොසැලකිල්ල}),[:ප්‍රතිඵලය],(:Entity {name: හිමිකරුට වන්දි ඉල්ලා සිටිය හැකිය හෝ ගිවිසුම අවසන් කළ හැකිය})
(:Entity {name: භාණ්ඩ නැවත ලබා ගත් පසු}),[:ගණනය],(:Entity {name: කුලියට ගන්නා තැනැත්තා ගෙවා ඇති මුදල සහ භාණ්ඩ නැවත විකිණීමෙන් හිමිකරුට ලැබෙන මුදල අතර වෙනස})
(:Entity {name: කොන්දේසි සහිත විකුණුම් ගිවිසුම}),[:ලක්ෂණය],(:Entity {name: භාණ්ඩවල දේපළ විකුණන්නා සතුව පවතී වාරික ගෙවීම හෝ ගිවිසුමේ සඳහන් වෙනත් කොන්දේසි ඉටු වන තෙක්})
(:Entity {name: කොන්දේසි සහිත විකුණුම් ගිවිසුම}),[:අර්ථ_දැක්වීම],(:Entity {name: භාණ්ඩ විකිණීමේ ගිවිසුමක් මිලදී ගැනීමේ මිල හෝ එහි කොටසක් වාරික වශයෙන් ගෙවිය යුතු})
(:Entity {name: කොන්දේසි සහිත විකුණුම් ගිවිසුම}),[:සැලකීම],(:Entity {name: කුලියට-මිලදී ගැනීමේ ගිවිසුමක් ලෙස})
(:Entity {name: ගිවිසුමේ භාණ්ඩ ලැයිස්තුව}),[:අරමුණ],(:Entity {name: භාණ්ඩ නිශ්චිතව හඳුනා ගැනීමට})
(:Entity {name: ගිවිසුමේ භාණ්ඩ ලැයිස්තුව}),[:අරමුණ],(:Entity {name: විවාද මතුවීම වැළැක්වීමට})
(:Entity {name: ලැයිස්තුවේ}),[:ඇතුළත්_වීම],"(:Entity {name: ආදර්ශය, අනුක්‍රමික අංකය, වර්ණය වැනි විස්තර})"
(:Entity {name: උපලේඛනයේ සටහන}),[:දැනුම්_දීම],(:Entity {name: ගිවිසුම අවසන් කිරීමේ අයිතිය})
(:Entity {name: උපලේඛනයේ සටහන}),[:දැනුම්_දීම],(:Entity {name: භාණ්ඩ නැවත ලබා ගැනීම සම්බන්ධ හිමිකරුගේ අයිතිවාසිකම්})
(:Entity {name: උපලේඛනයේ සටහන}),[:දැනුම්_දීම],(:Entity {name: වාරික ගෙවීමේ වැදගත්කම})
(:Entity {name: පාරිභෝගික ආරක්ෂණ පනත}),[:කෙටි_නම],(:Entity {name: පාරිභෝගික ආරක්ෂණ පනත})
(:Entity {name: පාරිභෝගික ආරක්ෂණ පනත}),[:ක්‍රියාත්මක_වන_දිනය],"(:Entity {name: I, II සහ IV කොටස් 1979 ජනවාරි මස 01 වන දින සිට})"
(:Entity {name: කොටස III}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: ජනාධිපතිවරයා විසින් ගැසට් පත්‍රයේ ප්‍රකාශිත ප්‍රකාශනයක් මගින්})
(:Entity {name: අභ්‍යන්තර වෙළඳ කොමසාරිස්වරයා}),[:කාර්යභාරය],"(:Entity {name: සමාගම් ලියාපදිංචි කිරීම, අධීක්ෂණය සහ නියාමනය})"
(:Entity {name: නියෝජ්‍ය කොමසාරිස්වරුන්}),[:ක්‍රියා_කරයි],(:Entity {name: කොමසාරිස්වරයාගේ සාමාන්‍ය මඟ පෙන්වීම හා පාලනය යටතේ})
(:Entity {name: බෙදාහැරීමේ ක්‍රමය}),[:තීරණය_කිරීම],"(:Entity {name: කොමසාරිස්වරයාට භාණ්ඩයක් නිෂ්පාදනය, ආනයනය, විකිණීම සහ පරිභෝජනය සම්බන්ධයෙන් උනන්දුවක් දක්වන පුද්ගලයින් සමඟ සාකච්ඡා කර})"
(:Entity {name: බෙදාහැරීමේ ක්‍රමය}),[:ප්‍රකාශයට_පත්_කිරීම],"(:Entity {name: ගැසට් පත්‍රයේ සහ අවම වශයෙන් එක් සිංහල, එක් දෙමළ සහ ඉංග්‍රීසි පුවත්පතක})"
(:Entity {name: කොමසාරිස්වරයා}),[:හැකියාව],(:Entity {name: බෙදාහැරීමේ ක්‍රමයේ ක්‍රියාකාරිත්වය පිළිබඳව විමර්ශනය කළ හැකිය})
(:Entity {name: කොමසාරිස්වරයා}),[:හැකියාව],(:Entity {name: බෙදාහැරීමේ ක්‍රමය වෙනස් කිරීමට හෝ සකස් කිරීමට})
(:Entity {name: කොමසාරිස්වරයා}),[:හැකියාව],"(:Entity {name: නිෂ්පාදකයන් හෝ වෙළඳුන්ට ලේබල් කිරීම, මිල සලකුණු කිරීම සහ ඇසුරුම් කිරීම පිළිබඳ සාමාන්‍ය මඟ පෙන්වීම් නිකුත් කළ හැකිය})"
(:Entity {name: කොමසාරිස්වරයා}),[:හැකියාව],(:Entity {name: නිශ්චිත ප්‍රමිතීන්ට අනුකූල නොවන භාණ්ඩ නිෂ්පාදනය හෝ විකිණීම පිළිබඳ පැමිණිලි විමර්ශනය කළ හැකිය})
(:Entity {name: කොමසාරිස්වරයා}),[:හැකියාව],"(:Entity {name: නිෂ්පාදකයෙක්, වෙළඳුවෙක් හෝ සංගමයක් සමඟ උපරිම මිල සැපයීම සඳහා ලිඛිත ගිවිසුම්වලට එළඹිය හැකිය})"
(:Entity {name: කොමසාරිස්වරයා}),[:කාර්යය],"(:Entity {name: තෘප්තිමත් ගුණාත්මකභාවයෙන් යුත්, සාධාරණ මිලකට සහ ප්‍රමාණවත් ප්‍රමාණයකින් පාරිභෝගිකයාට භාණ්ඩ ලබා ගැනීම සහතික කරන අධ්‍යයන කළ හැකිය})"
(:Entity {name: කොමසාරිස්වරයා}),[:කාර්යය],"(:Entity {name: පාරිභෝගික සංවිධාන ප්‍රවර්ධනය, සහාය සහ දිරිමත් කළ හැකිය})"
(:Entity {name: කොමසාරිස්වරයා}),[:නියම_කිරීම],(:Entity {name: අත්‍යවශ්‍ය භාණ්ඩ})
(:Entity {name: කොමසාරිස්වරයා}),[:ප්‍රකාශයට_පත්_කිරීම],(:Entity {name: ගැසට් පත්‍රයේ දැන්වීම})
(:Entity {name: බෙදාහැරීමේ ක්‍රමයේ විධිවිධාන උල්ලංඝනය කරන වෙළඳුන්}),[:තත්ත්වය],(:Entity {name: මෙම පනත යටතේ වරදකරුවන් වේ})
(:Entity {name: මඟ පෙන්වීම් අනුගමනය කිරීමට අසමත් වන නිෂ්පාදකයන් හෝ වෙළඳුන්}),[:තත්ත්වය],(:Entity {name: වරදකරුවන් වේ})
"(:Entity {name: ලේබලය, විස්තරය හෝ මිල සලකුණ})",[:තහනම],"(:Entity {name: ඉවත් කිරීම, වෙනස් කිරීම, මකා දැමීම, මකා ඉවත් කිරීම හෝ විකෘති කිරීම})"
(:Entity {name: එවැනි ක්‍රියාවක්}),[:තත්ත්වය],(:Entity {name: මෙම පනත යටතේ වරදක් වේ})
(:Entity {name: වෙළඳුවෙකු}),[:යුතුකම],(:Entity {name: තම ව්‍යාපාරික ස්ථානයේ විකිණීමට තිබෙන සෑම භාණ්ඩයකම උපරිම සිල්ලර හෝ තොග මිල නියම කරන දැන්වීමක් කැපී පෙනෙන ලෙස ප්‍රදර්ශනය කළ යුතුය})
(:Entity {name: වෙළඳුවෙකු}),[:යුතුකම],(:Entity {name: භාණ්ඩයක් විකුණන විට ඉල්ලීමක් මත ගැනුම්කරුවාට රිසිට්පතක් නිකුත් කළ යුතුයි})
(:Entity {name: වෙළඳුවෙකු}),[:යුතුකම],(:Entity {name: තම ව්‍යාපාරික ස්ථානයේ කැපී පෙනෙන ස්ථානයක දැන්වීම් පුවරුවක් සැපයිය යුතුයි})
